experiment,valid_start,valid_end,n_features,train_n,p_at_r70,average_precision,roc_auc,recall_at_fpr01,n,positives,prevalence
quickstart_rf,2026-04-13,2026-04-15,2.0,5930.0,0.08365384615384615,0.2553844123587408,0.6137869561101821,0.15447154471544716,1669,123,0.07369682444577591
quickstart_rf,2026-04-15,2026-04-17,2.0,7599.0,0.10388127853881278,0.20813842572589053,0.6264406779661017,0.088,1541,125,0.08111615833874107
hist_full,2026-04-13,2026-04-15,191.0,5930.0,0.5714285714285714,0.714167130521884,0.9063883717750503,0.5284552845528455,1669,123,0.07369682444577591
hist_full,2026-04-15,2026-04-17,191.0,7599.0,0.6875,0.7468189536201622,0.9258926553672316,0.496,1541,125,0.08111615833874107
cat_original_d4,2026-04-13,2026-04-15,160.0,5930.0,0.5209580838323353,0.7195678004498894,0.9110161023990576,0.5447154471544715,1669,123,0.07369682444577591
cat_original_d4,2026-04-15,2026-04-17,160.0,7599.0,0.6929133858267716,0.7641935292529236,0.9314350282485876,0.536,1541,125,0.08111615833874107
cat_original_d6,2026-04-13,2026-04-15,160.0,5930.0,0.6083916083916084,0.7225741418277165,0.9139925745958625,0.5284552845528455,1669,123,0.07369682444577591
cat_original_d6,2026-04-15,2026-04-17,160.0,7599.0,0.6846153846153846,0.7618455067578485,0.9289830508474576,0.528,1541,125,0.08111615833874107
cat_original_d7,2026-04-13,2026-04-15,160.0,5930.0,0.5304878048780488,0.7132812448318777,0.9159856540350656,0.5121951219512195,1669,123,0.07369682444577591
cat_original_d7,2026-04-15,2026-04-17,160.0,7599.0,0.6666666666666666,0.7638944205590501,0.9311525423728815,0.56,1541,125,0.08111615833874107
cat_original_no_client,2026-04-13,2026-04-15,138.0,5930.0,0.5471698113207547,0.7137767973625744,0.9074085760262519,0.5284552845528455,1669,123,0.07369682444577591
cat_original_no_client,2026-04-15,2026-04-17,138.0,7599.0,0.6742424242424242,0.7577296948813712,0.9313502824858757,0.544,1541,125,0.08111615833874107
cat_extended_d6,2026-04-13,2026-04-15,191.0,5930.0,0.5918367346938775,0.7230825765882419,0.9190988546366705,0.5528455284552846,1669,123,0.07369682444577591
cat_extended_d6,2026-04-15,2026-04-17,191.0,7599.0,0.6567164179104478,0.7539744130267256,0.9343276836158192,0.496,1541,125,0.08111615833874107
