feature,importance,group
item_unique_ratio,3.2989109856697434,actions
category_nunique,3.033044766243253,actions
category_entropy,2.7863209172279606,actions
short_gap_mean,2.6439507687718984,timing
location_entropy,2.5100389516577346,actions
gap_le_60s_share,2.2304077489328624,timing
cookie_age_log_days,2.1200374781824767,age
extra_gap_log_mean,2.0959496812261795,timing
category_unique_ratio,2.009315145817569,actions
category_top_share,1.8502094530250086,actions
location_unique_ratio,1.839158351905682,actions
pointer_y_unique_ratio,1.7551763085488523,pointer
extra_item_multi_action_share,1.686373434175218,actions
short_gap_p90,1.602251030981756,timing
share_seller_page_view,1.5576021755340748,actions
item_entropy,1.430953631212961,actions
search_page_mean,1.427061955768768,actions
short_gap_max,1.3879854513972532,timing
extra_item_actions_mean,1.3479541934168249,actions
extra_gap_geomean_arithmean,1.3170819159794773,timing
search_page_p90,1.2764402860112172,actions
contacts_per_view,1.2595690470817278,actions
short_gap_median,1.233772006036323,timing
extra_gap_log_change_mean,1.1717408059990135,timing
location_nunique,1.140802936645085,actions
extra_gap_log_std,1.1378919997059904,timing
short_gap_std,1.0468908596668434,timing
gap_iqr_ratio,0.9701166199818534,timing
search_page_std,0.9589776238615769,actions
session_mean_events,0.9502868137193071,timing
gap_le_15s_share,0.9456610067139508,timing
search_page_median,0.943541288708148,actions
location_top_share,0.9417277994330577,actions
extra_gap_log_change_std,0.8758740575968593,timing
share_contact_phone_show,0.8640472057135268,actions
gap_adjacent_change_median,0.8317836624886047,timing
peak_300s_count,0.7769423321867628,timing
extra_view_gap_min,0.7722094172688758,timing
session_max_seconds,0.7688002121350915,timing
item_missing_share,0.766461595816925,actions
gap_unique_ratio,0.762120358948428,timing
event_entropy,0.7500432682854175,actions
short_gap_cv,0.7447798363661047,timing
seller_pro_share,0.7407754512391466,actions
item_nunique,0.7283352732409688,actions
extra_search_gap_p10,0.6915069688999607,timing
item_top_share,0.6829726161440327,actions
gap_median,0.679008649897688,timing
count_seller_page_view,0.6386565462254103,actions
last_event_to_end,0.6216325083328291,timing
gap_p90,0.6135456250149666,timing
extra_view_gap_p90,0.6038012643524477,timing
share_favorite_add,0.5939065687372796,actions
share_contact_chat_open,0.5813374761704361,actions
gap_p10,0.5764633025442717,timing
short_gap_p10,0.5720461854968376,timing
transition_search_to_view_share,0.5712228212403228,actions
view_item_entropy,0.5590369063137643,actions
share_contact_message_sent,0.5577469569953538,actions
pointer_x_unique_ratio,0.5476347558790944,pointer
extra_view_gap_median,0.5322664261736021,timing
same_event_transition_share,0.5285602882926712,actions
extra_view_gap_std,0.5279264217963434,timing
first_event_offset,0.5258330919143661,timing
short_gap_burstiness,0.5127502284813786,timing
share_photo_swipe,0.5110816993779354,actions
query_top_share,0.5047069451569333,actions
extra_gap_mad_ratio,0.48518542836310435,timing
category_missing_share,0.4846767883834127,actions
extra_gap_trimmed_cv,0.4844935603085041,timing
extra_search_gap_max,0.44235391399097573,timing
share_search_results_view,0.4283464759641193,actions
peak_10s_share,0.4282091734231253,timing
gap_mean,0.41881625192904065,timing
transition_unique_ratio,0.41499220559420213,actions
short_gap_iqr_ratio,0.41431227994597397,timing
pointer_distance_cv,0.40749877923130595,pointer
gap_cv,0.4040225932143627,timing
extra_view_gap_cv,0.3987220464943598,timing
search_page_max,0.3966710633060021,actions
hour_unique_ratio,0.3958819302132735,timing
gap_min,0.39362793199166934,timing
extra_gap_p90_p10,0.392209474474599,timing
gap_std,0.3918817061104649,timing
search_page_cv,0.3893781208824545,actions
query_unique_ratio,0.3819401605361717,actions
peak_60s_count,0.3750758190918709,timing
view_item_unique_ratio,0.3735972883324201,actions
views_per_search,0.370702869231582,actions
extra_view_gap_mean,0.36569107719637295,timing
extra_search_gap_min,0.3589867440859654,timing
extra_search_gap_median,0.35786235255612386,timing
event_top_share,0.3489914769362085,actions
view_item_top_share,0.3407114432330293,actions
count_favorite_add,0.3384175038343183,actions
hour_entropy,0.32966211233767684,timing
session_total_seconds,0.32933162448512376,timing
extra_search_gap_cv,0.32365717343812783,timing
session_max_events,0.3221258823036361,timing
query_mean_words,0.3149431055685068,actions
view_item_nunique,0.3121775011224809,actions
query_mean_chars,0.30970175073140915,actions
n_events,0.3074616143001504,actions
favorites_per_view,0.3033433536858369,actions
search_page_deep_share,0.3001768687371712,actions
pointer_observed_count,0.297783409136295,pointer
extra_view_gap_p10,0.29352420003223884,timing
peak_300s_share,0.2888635272393385,timing
gap_over_30m_share,0.2792766867483339,timing
hour_top_share,0.2712414614356248,timing
gap_max,0.2697592132489004,timing
transition_view_to_photo_share,0.2647812400062126,actions
count_contact_phone_show,0.26018864708952566,actions
events_per_active_minute,0.25435859471536476,timing
event_unique_ratio,0.24889533092956428,actions
query_missing_share,0.2485588799288914,actions
share_item_view,0.2453472169034933,actions
hour_12_18_share,0.2415560321025467,timing
extra_photo_items_viewed_share,0.2394496276564685,actions
extra_search_gap_iqr_ratio,0.2383046994974518,timing
short_gap_min,0.23172669601226706,timing
extra_favorite_items_viewed_share,0.22637059412724467,actions
photos_per_view,0.22334748575708874,actions
active_span_seconds,0.2050897017677754,timing
short_gap_mode_share,0.20271581304662595,timing
extra_search_gap_p90,0.1967119183729458,timing
hour_6_12_share,0.19650152133996887,timing
phone_per_chat,0.1910844064175944,actions
gap_le_5s_share,0.1838076236971456,timing
transition_view_to_phone_share,0.1770238309147502,actions
extra_search_gap_mean,0.1739745568990451,timing
query_entropy,0.1692943519694485,actions
query_nunique,0.1666261560387432,actions
search_page_iqr_ratio,0.15950527327278166,actions
extra_view_gap_iqr_ratio,0.15913553559511529,timing
extra_view_gap_max,0.15656055113786138,timing
search_next_page_share,0.15170491926589336,actions
extra_search_gap_std,0.1453589890372163,timing
active_minutes,0.14241709562983218,timing
event_nunique,0.14135923783367915,actions
count_contact_chat_open,0.13784049099638185,actions
share_login,0.13436801263091,actions
hour_0_6_share,0.13392581798972536,timing
peak_60s_share,0.12925131848714408,timing
search_page_p10,0.12276094281656534,actions
hour_18_24_share,0.12249471027277901,timing
pointer_observed_share,0.11825375565055311,pointer
count_item_view,0.11812372717559541,actions
extra_phone_items_viewed_share,0.10822058633414992,actions
count_photo_swipe,0.10315343732418225,actions
location_missing_share,0.09911920763424696,actions
count_contact_message_sent,0.09591636128624786,actions
count_login,0.09004278092256413,actions
session_count,0.08216873783605975,timing
search_page_nunique,0.07977010451197422,actions
pointer_same_point_share,0.0760756658791269,pointer
gap_le_1s_share,0.06963321679379544,timing
hour_nunique,0.06412286057944859,timing
night_share,0.06352807561629456,timing
search_repeated_page_share,0.050864198816513335,actions
session_single_event_share,0.03730453124362844,timing
count_search_results_view,0.033217378684097264,actions
gap_zero_share,0.022863445359195503,timing
search_page_min,0.005917800826140592,actions
no_events,0.0,actions
share_captcha_shown,0.0,actions
count_captcha_shown,0.0,actions
peak_10s_count,0.0,timing
pointer_unique_ratio,0.0,pointer
